name;time;crossigns;edges
map00010;0.3200197219848633;1254;241
map00020;0.13752365112304688;445;138
map00030;0.19646191596984863;846;229
map00040;0.7242696285247803;3076;326
map00051;0.5000627040863037;2181;325
map00052;0.17111635208129883;541;223
map00053;0.3388392925262451;1441;282
map00500;0.346102237701416;1517;279
map00520;1.2578701972961426;4644;577
map00562;0.2594630718231201;1174;245
map00620;0.9179449081420898;4101;396
map00630;0.669517993927002;2477;349
map00640;0.5228152275085449;2175;285
map00650;0.6745975017547607;2539;316
map00660;0.06037402153015137;221;138
map01200;8.108061790466309;27153;917
map01210;4.0584306716918945;13584;720
map01212;2.0120913982391357;7156;527
map01220;13.687861680984497;47884;1240
map01230;4.169339656829834;13042;711
map01232;2.67270827293396;10728;571
map01240;15.958338499069214;27982;1516
map01250;2.908450126647949;9733;790
map00010;0.3408634662628174;1337;241
map00020;0.12288379669189453;445;138
map00030;0.1950681209564209;826;229
map00040;0.700305700302124;2857;326
map00051;0.48279237747192383;2067;325
map00052;0.16328001022338867;492;223
map00053;0.3568551540374756;1564;282
map00500;0.437058687210083;2156;279
map00520;1.4356331825256348;5693;577
map00562;0.2607996463775635;1174;245
map00620;1.073317289352417;4962;396
map00630;0.6555428504943848;2348;349
map00640;0.5502719879150391;2106;285
map00650;0.7610633373260498;2683;316
map00660;0.06821036338806152;221;138
map01200;7.30457329750061;23063;917
map01210;4.362255811691284;15349;720
map01212;1.9890542030334473;7716;527
map01220;13.505701541900635;47966;1240
map01230;4.3795318603515625;14168;711
map01232;3.0636446475982666;12878;571
map01240;13.502516746520996;17121;1516
map01250;2.8583788871765137;10346;790
map00010;0.3336653709411621;1337;241
map00020;0.12381315231323242;445;138
map00030;0.1930708885192871;826;229
map00040;0.7403378486633301;3166;326
map00051;0.47818827629089355;2067;325
map00052;0.20084452629089355;632;223
map00053;0.34970664978027344;1564;282
map00500;0.43181300163269043;2156;279
map00520;1.1029160022735596;3765;577
map00562;0.2662208080291748;1237;245
map00620;1.0073091983795166;4699;396
map00630;0.7335727214813232;2926;349
map00640;0.4916841983795166;2016;285
map00650;0.7092208862304688;2840;316
map00660;0.06064748764038086;221;138
map01200;7.629824161529541;26223;917
map01210;3.8232429027557373;12970;720
map01212;1.7866134643554688;6655;527
map01220;14.30401873588562;53057;1240
map01230;4.018064498901367;12861;711
map01232;3.1360933780670166;13549;571
map01240;15.827709913253784;28922;1516
map01250;2.899052381515503;10281;790
map00010;0.33316969871520996;1311;241
map00020;0.1280055046081543;445;138
map00030;0.18575549125671387;711;229
map00040;0.7063875198364258;2857;326
map00051;0.4670426845550537;1898;325
map00052;0.1856851577758789;613;223
map00053;0.35679078102111816;1564;282
map00500;0.43360376358032227;2144;279
map00520;1.2269926071166992;4598;577
map00562;0.26030945777893066;1174;245
map00620;0.9505770206451416;4287;396
map00630;0.7949318885803223;3219;349
map00640;0.515568733215332;2016;285
map00650;0.7465722560882568;2840;316
map00660;0.07015490531921387;221;138
map01200;7.500777721405029;22076;917
map01210;4.490157604217529;15484;720
map01212;2.045569658279419;8203;527
map01220;13.888458013534546;50785;1240
map01230;4.019651174545288;12594;711
map01232;2.9529991149902344;12551;571
map01240;16.937208652496338;33859;1516
map01250;2.819993495941162;10440;790
map00010;0.3206186294555664;1254;241
map00020;0.12239551544189453;445;138
map00030;0.20593500137329102;846;229
map00040;0.7690610885620117;3351;326
map00051;0.44914817810058594;1831;325
map00052;0.1791081428527832;568;223
map00053;0.344249963760376;1441;282
map00500;0.34278059005737305;1517;279
map00520;1.3817315101623535;4831;577
map00562;0.25917959213256836;1174;245
map00620;1.080678939819336;5095;396
map00630;0.791473388671875;3095;349
map00640;0.5571894645690918;2175;285
map00650;0.6928188800811768;2683;316
map00660;0.05907320976257324;221;138
map01200;8.739368200302124;31279;917
map01210;4.510011672973633;16482;720
map01212;2.0140693187713623;7912;527
map01220;14.033108949661255;50462;1240
map01230;3.9016456604003906;11957;711
map01232;2.936452865600586;11643;571
map01240;17.69968008995056;35926;1516
map01250;2.679229497909546;8396;790
