name;time;crossigns;edges
map00010;0.3531060218811035;1426;241
map00020;0.12659239768981934;447;138
map00030;0.20848870277404785;885;229
map00040;0.7540931701660156;3171;326
map00051;0.4853649139404297;2017;325
map00052;0.19393634796142578;689;223
map00053;0.38173723220825195;1685;282
map00500;0.45977067947387695;2275;279
map00520;1.334423303604126;5130;577
map00562;0.2860982418060303;1338;245
map00620;1.1207761764526367;5207;396
map00630;0.782538652420044;3037;349
map00640;0.49184608459472656;2165;285
map00650;0.7068133354187012;2763;316
map00660;0.10658788681030273;240;138
map01200;7.739341735839844;23519;917
map01210;4.634756803512573;16083;720
map01212;2.1408400535583496;7600;527
map01220;15.621667861938477;53591;1240
map01230;4.798859596252441;14815;711
map01232;3.168778419494629;13022;571
map01240;17.438989400863647;34636;1516
map01250;3.134568214416504;11114;790
map00010;0.3739347457885742;1426;241
map00020;0.12489700317382812;447;138
map00030;0.2057647705078125;885;229
map00040;0.7081117630004883;2923;326
map00051;0.5052311420440674;2203;325
map00052;0.22917389869689941;930;223
map00053;0.37662649154663086;1674;282
map00500;0.45024538040161133;2275;279
map00520;1.3187921047210693;5093;577
map00562;0.28638339042663574;1384;245
map00620;1.0009410381317139;4560;396
map00630;0.6913959980010986;2668;349
map00640;0.4416177272796631;1508;285
map00650;0.7614006996154785;3095;316
map00660;0.062291860580444336;240;138
map01200;8.250846147537231;28857;917
map01210;3.977226972579956;13628;720
map01212;1.8876922130584717;7212;527
map01220;13.809252500534058;49604;1240
map01230;4.304766893386841;14023;711
map01232;3.034609794616699;12868;571
map01240;16.138492345809937;30789;1516
map01250;3.2876152992248535;12982;790
map00010;0.34557318687438965;1426;241
map00020;0.12318086624145508;447;138
map00030;0.13614821434020996;351;229
map00040;0.7038211822509766;2923;326
map00051;0.47849512100219727;2017;325
map00052;0.19631648063659668;723;223
map00053;0.3620736598968506;1554;282
map00500;0.4344775676727295;2221;279
map00520;1.3142518997192383;5043;577
map00562;0.27759337425231934;1338;245
map00620;1.020871877670288;4809;396
map00630;0.8403265476226807;3571;349
map00640;0.5330626964569092;2293;285
map00650;0.7204790115356445;2994;316
map00660;0.09343242645263672;240;138
map01200;5.470788955688477;14297;917
map01210;4.679808616638184;16580;720
map01212;2.1139414310455322;8387;527
map01220;13.522481918334961;47532;1240
map01230;4.299706697463989;14270;711
map01232;2.7126245498657227;10811;571
map01240;16.884698629379272;33999;1516
map01250;3.249257802963257;11531;790
map00010;0.35191798210144043;1434;241
map00020;0.12410664558410645;447;138
map00030;0.215806245803833;984;229
map00040;0.7632801532745361;3378;326
map00051;0.4969642162322998;2203;325
map00052;0.18409323692321777;637;223
map00053;0.23934435844421387;676;282
map00500;0.4350152015686035;2189;279
map00520;1.0006413459777832;3105;577
map00562;0.27944397926330566;1338;245
map00620;1.0956923961639404;5169;396
map00630;0.7440066337585449;2974;349
map00640;0.42038869857788086;1508;285
map00650;0.648404598236084;2433;316
map00660;0.06357622146606445;240;138
map01200;7.059162616729736;23012;917
map01210;4.640052080154419;17110;720
map01212;1.9315996170043945;7731;527
map01220;15.527506828308105;56083;1240
map01230;4.4480063915252686;14911;711
map01232;2.6360127925872803;10726;571
map01240;18.851947784423828;42749;1516
map01250;3.1835813522338867;11531;790
map00010;0.33569812774658203;1365;241
map00020;0.12093353271484375;447;138
map00030;0.19905781745910645;875;229
map00040;0.7170987129211426;2807;326
map00051;0.5292205810546875;2289;325
map00052;0.1856844425201416;651;223
map00053;0.22223782539367676;676;282
map00500;0.43516993522644043;2188;279
map00520;1.438469648361206;5897;577
map00562;0.267305850982666;1267;245
map00620;0.9812982082366943;4592;396
map00630;0.7337455749511719;2932;349
map00640;0.41335010528564453;1508;285
map00650;0.7170734405517578;2897;316
map00660;0.06084752082824707;240;138
map01200;8.342667818069458;28953;917
map01210;5.07339072227478;17485;720
map01212;2.0245614051818848;7809;527
map01220;16.135680437088013;57350;1240
map01230;4.456037998199463;14577;711
map01232;2.9338574409484863;12057;571
map01240;14.121862173080444;19699;1516
map01250;3.221189498901367;11495;790
